First_Name,Last_Name,DOB,PAN_Number,Aadhaar_Number,Risk_Score,Fraud_Flag
Rohan,Gupta,1994-04-02,FEOLV0788N,503965493249,0.22,0
Sai,Rao,2003-12-28,DCBKV6673Z,859404019690,0.17,0
Vihaan,Sharma,2000-08-05,BWAZC0285X,535076917197,0.3,0
Diya,Mehta,1986-12-27,LTFDZ7536E,374790987997,0.1,0
Aditya,Kumar,1974-04-13,ECTAD4527J,115787565184,0.15,0
Diya,Joshi,1993-10-06,UWPFE0036R,137800926979,0.27,0
Aanya,Sharma,1971-11-12,AWYPE6981J,262333619370,0.01,0
Nisha,Singh,1978-04-06,DGLEI7416R,918669055048,0.08,0
Aarav,Mehta,1980-07-28,QURIQ1584A,508549152891,0.08,0
Aditya,Desai,1998-10-04,QZEMH8684Q,652807434766,0.28,0
Vihaan,Gupta,1999-10-05,WJKEW3563A,813634901807,0.22,0
Nisha,Joshi,1994-11-28,LHRLQ6591O,868982168200,0.21,0
Rohan,Singh,1975-07-07,THJWF6252I,407670225641,0.01,0
Sai,Mehta,2002-07-14,QLYSC4647K,538322055528,0.15,0
Aarav,Desai,1975-11-23,SFGJU2863A,378292372047,0.19,0
Aarav,Gupta,1981-04-20,ZNFMP1426U,461670308844,0.26,0
Vihaan,Mehta,1989-02-20,LKKOB5421F,145673213734,0.19,0
Aanya,Sharma,1982-10-04,VEDKP0165U,256607457437,0.12,0
Sai,Gupta,1982-02-08,DRXDI1539F,952410888805,0.08,0
Aanya,Sharma,1978-06-02,LAPLI4775Z,335133366897,0.13,0
Rohan,Mehta,1986-05-22,RSOIX6392B,475979280163,0.21,0
Sai,Desai,1977-03-13,BXUWD4276E,312126808201,0.19,0
Sai,Desai,1978-08-20,131977067Z,0170928988,0.82,1
Aditya,Mehta,1995-10-19,PZMLD3015X,783544086747,0.23,0
Rohan,Kumar,1972-03-13,QMDSH8008B,934555043633,0.21,0
Aanya,Sharma,1994-02-09,VLTGA0300E,077000565283,0.22,0
Isha,Desai,2003-01-17,SBTKU5723U,223145228176,0.2,0
Nisha,Desai,1997-06-05,GOUFK1015N,142564851702,0.26,0
Rohan,Patel,1980-08-24,CTIWZ1411C,004292690199,0.23,0
Diya,Gupta,1973-11-17,VLFAQ3720Z,772085465681,0.02,0
Sai,Verma,1974-11-30,FYXIB2414O,304718176169,0.27,0
Vihaan,Gupta,1971-12-27,SUZCX4548G,245949770317,0.03,0
Isha,Patel,1987-10-28,MUQFC0113B,130216761831,0.2,0
Vihaan,Gupta,1998-03-16,QGVLT3431B,305001374104,0.17,0
Sai,Desai,1973-11-04,READP1542Q,596704435234,0.16,0
Aanya,Desai,1976-10-17,TOTAD1617E,247833535277,0.25,0
Vihaan,Sharma,1970-04-24,XFKJN4094S,273466683409,0.02,0
Sai,Desai,1993-04-20,EAAMC5282Y,043046165784,0.26,0
Isha,Singh,1974-09-01,JPWGO8887V,862755426742,0.06,0
Arjun,Mehta,1979-10-31,PPZNK5806Q,097130723335,0.21,0
Sai,Joshi,1985-06-26,IYHPV4548C,357626698653,0.08,0
Arjun,Rao,1972-07-12,QAMBD1835H,218036304509,0.21,0
Rohan,Mehta,1974-02-05,TIBMD9859F,637470840978,0.21,0
Arjun,Verma,1991-02-10,TSVTA0527O,456411958927,0.03,0
Sai,Patel,1991-10-08,TOFFI9789Y,691068033160,0.19,0
Isha,Rao,1982-10-07,CLVEM6217A,768428435010,0.08,0
Kavya,Verma,1990-12-12,FOHNJ3746G,886990547116,0.21,0
Arjun,Verma,2003-05-17,LJHRI5881N,689902520894,0.3,0
Isha,Sharma,1988-08-28,QFGPG4765V,460869664139,0.01,0
Vihaan,Verma,1994-02-12,CRFDT1314Z,108341458567,0.03,0
Aarav,Singh,2001-12-26,NADTM2810J,984267112964,0.09,0
Diya,Rao,1979-10-31,DKJAR4457A,202777293371,0.21,0
Arjun,Verma,1981-11-10,GDWOD6191N,269924894469,0.26,0
Rohan,Kumar,2000-05-09,XFHST7695T,371466764258,0.14,0
Aditya,Singh,1988-04-03,UIGSD0756T,255036056395,0.22,0
Arjun,Sharma,1980-04-05,XBPWM2450X,028166675344,0.09,0
Sai,Verma,2002-10-04,MVRII6452Z,351537665513,0.22,0
Rohan,Patel,1984-10-08,OHIZG1859L,549093933281,0.2,0
Aarav,Rao,1980-06-22,DWCGX2977U,275891652136,0.09,0
Nisha,Patel,1983-12-10,OOOQF2376M,149005371092,0.24,0
Rohan,Desai,1986-06-01,MCUDR2980M,113052412392,0.29,0
Nisha,Singh,1971-10-27,TVDCF4962Y,684480553462,0.22,0
Vihaan,Joshi,1991-05-13,DGLLY8655Y,284180450437,0.07,0
Diya,Mehta,1996-11-12,IQNWM5220V,417980603413,0.18,0
Arjun,Desai,1983-03-14,XTINU6548A,304951105278,0.17,0
Aanya,Verma,2002-03-22,THTEK3183D,260277467126,0.25,0
Isha,Verma,1984-09-04,GSFTW7074K,007134800546,0.12,0
Kavya,Patel,1978-04-04,QUBEG8590U,999596594800,0.16,0
Sai,Rao,1974-11-28,LURNH0412L,951140939294,0.28,0
Aditya,Desai,1971-05-25,RLNOX4502Q,422486423748,0.01,0
Arjun,Mehta,1989-08-25,EMCAS7929V,411900246022,0.07,0
Aditya,Singh,1989-10-21,JFXGE1715R,932413071438,0.29,0
Aarav,Mehta,1988-02-18,FXXFL3434N,908279415452,0.13,0
Isha,Sharma,1977-01-25,IBDHX2315J,337527186803,0.09,0
Diya,Joshi,1988-09-10,KFYTU6946O,756454362630,0.21,0
Aarav,Sharma,1981-06-29,LPTSE2447I,314569183561,0.14,0
Arjun,Singh,1997-07-10,HEZII4748Q,666442065832,0.03,0
Arjun,Kumar,1994-09-08,KVMWV2274L,083816145795,0.22,0
Isha,Singh,1977-08-20,ABYBC5199B,437359231491,0.14,0
Isha,Joshi,1973-09-24,XYBOX1749E,171278325214,0.06,0
Aarav,Sharma,1973-09-03,AKIDX0790E,884752864909,0.12,0
Vihaan,Sharma,1994-07-20,TRUZO3242P,494450064411,0.21,0
Sai,Patel,1999-08-18,RGOLS9120P,485996133036,0.17,0
Rohan,Desai,1986-06-06,OHJJI1423I,724396128057,0.19,0
Isha,Verma,1972-02-14,BBXPT3657M,914308961502,0.24,0
Isha,Mehta,2004-04-08,545455690N,6873938641,0.77,1
Arjun,Singh,1971-03-27,KCFCD5831S,994941500552,0.25,0
Arjun,Patel,1972-05-25,RVKAS8586A,733848151569,0.2,0
Nisha,Patel,1998-11-30,KHUMN8605W,196881101842,0.11,0
Nisha,Verma,1986-04-30,BHUAF1888E,640027082442,0.28,0
Aditya,Kumar,1985-07-09,XXAAJ8113M,413682296368,0.15,0
Arjun,Singh,2004-11-11,JNLGX0869M,597451376844,0.22,0
Aditya,Joshi,1978-05-20,ZNXHR1782I,344474336916,0.03,0
Nisha,Verma,1979-12-04,WFURA0134Z,601518805000,0.3,0
Aditya,Singh,1993-08-24,OZZIH4404D,351211431364,0.08,0
Arjun,Mehta,1976-08-20,TVYYC3152Z,096256386576,0.23,0
Isha,Singh,1986-08-30,GMGTO0849R,409243108602,0.23,0
Sai,Desai,1988-05-23,QQMKW6088Z,203080802824,0.13,0
Isha,Rao,1982-07-24,LMWXJ5779T,611507932725,0.22,0
Diya,Desai,1977-07-07,XNOJU1269Q,503535952367,0.09,0
Kavya,Joshi,1978-04-22,ZLVCJ3422D,255353124713,0.02,0
Vivaan,Desai,2002-04-05,DXBXH6561M,006236841605,0.19,0
Diya,Joshi,1991-06-19,HLSPA3207Z,909260040056,0.2,0
Vihaan,Singh,2004-08-30,TKRCT9194P,157749678509,0.15,0
Rohan,Desai,1976-01-31,NCVEP5044T,245346815956,0.15,0
Vivaan,Kumar,1990-10-24,URWTB1557Z,704220101044,0.25,0
Vivaan,Verma,2003-07-28,VJSOK1864D,730429157662,0.01,0
Aditya,Desai,2001-11-30,YHJBB6627Y,453302232741,0.22,0
Vihaan,Verma,1973-04-27,GBBUT2165U,983927454004,0.08,0
Aanya,Mehta,1973-11-21,941822874T,9097202124,0.86,1
Diya,Rao,1993-07-25,EYSNV7876C,714007210679,0.13,0
Diya,Kumar,1986-02-11,KGWQF2591E,669518015896,0.23,0
Arjun,Rao,1977-03-13,GSTSL4366C,667487888600,0.03,0
Vivaan,Joshi,1984-01-04,ELCAT8023I,483030932628,0.27,0
Aarav,Verma,1986-07-24,DRZBL5340R,248541919684,0.23,0
Rohan,Singh,1972-06-02,HEZDC7965N,412674005893,0.28,0
Nisha,Singh,2004-09-12,RYMCP1271O,636730034441,0.15,0
Rohan,Gupta,1991-11-13,NSJOD3082D,777002875615,0.06,0
Rohan,Kumar,1992-11-22,TMRBF4468M,786054901686,0.22,0
Sai,Kumar,2003-12-15,RFYKH1663A,864326720082,0.12,0
Nisha,Desai,1998-11-14,KEJXS7147G,544607246982,0.17,0
Isha,Gupta,1974-11-25,TCCOG9104D,599096101881,0.22,0
Aanya,Desai,1986-12-15,GHBNS5332A,947616004304,0.06,0
Rohan,Desai,1973-03-20,DXWRT9698O,399916544238,0.23,0
Vivaan,Joshi,1998-09-08,HYWPF0739G,709426440699,0.08,0
Rohan,Singh,1981-07-17,YYEFD0155J,869024549654,0.23,0
Kavya,Mehta,1990-06-05,FZORW4757S,048635128604,0.25,0
Nisha,Rao,1975-08-11,JPDMN2828M,862484486919,0.19,0
Sai,Rao,1999-10-09,XQDBO4353Q,231908475959,0.03,0
Diya,Joshi,1999-12-25,VEUPT9656B,407909377100,0.09,0
Aditya,Rao,1988-06-03,QHAVS8283H,072310783664,0.12,0
Aditya,Verma,1984-07-11,TTWRQ0062A,856277213867,0.26,0
Vihaan,Mehta,1988-10-24,TPJAW7935H,021493246789,0.05,0
Vivaan,Rao,1982-08-22,563778949A,4713974685,0.87,1
Nisha,Kumar,1974-01-23,RJZVG7445V,031631858268,0.2,0
Kavya,Joshi,2001-01-21,CCKTF4005D,474433595970,0.18,0
Nisha,Gupta,1982-06-20,NXHUG7669X,883797289821,0.24,0
Isha,Singh,1987-08-06,VOMGS9321G,658713776631,0.03,0
Kavya,Desai,1971-03-25,LTKZF7163U,492027938315,0.2,0
Vivaan,Rao,1978-09-10,OYCCK2808H,380352101351,0.19,0
Kavya,Desai,2002-06-23,OYVUF8413Y,363981120909,0.21,0
Arjun,Joshi,2000-04-11,UIODS1136H,153586017490,0.2,0
Diya,Desai,1985-06-11,HUKOS9579J,915140189637,0.05,0
Aditya,Rao,2003-09-26,EIHBM6347E,586074372704,0.08,0
Sai,Desai,2003-05-27,MTVBT6854K,580930671220,0.08,0
Sai,Joshi,1981-05-05,HDBDL7865T,828132355670,0.13,0
Sai,Sharma,2002-03-17,RQZXV9211L,091006930574,0.21,0
Isha,Gupta,1995-03-06,CJFCO6434T,109249310782,0.14,0
Diya,Sharma,1972-08-18,SOTZG5701P,145832441257,0.12,0
Isha,Patel,2003-10-16,ZDZZM8902X,870731989350,0.11,0
Diya,Singh,1989-03-18,ZNSGN2193Q,801598475319,0.18,0
Diya,Rao,1993-01-15,KCQNW4904E,164889608069,0.18,0
Sai,Gupta,1997-12-24,XRQGQ0411A,322288029594,0.18,0
Kavya,Mehta,1998-06-03,TCQKX7327F,316345243647,0.02,0
Vivaan,Rao,1980-09-19,VPLCA7425G,731416064066,0.27,0
Rohan,Gupta,1995-12-10,XZRMB4567Q,298378316862,0.26,0
Kavya,Joshi,2003-01-14,XSPZL8391J,713551784234,0.12,0
Isha,Gupta,1994-09-05,SZPVS2132X,246426243390,0.23,0
Aarav,Rao,1980-01-10,HREKF0536G,199985960270,0.28,0
Aarav,Mehta,1990-09-05,HDEAR6851A,981005395229,0.29,0
Diya,Gupta,1991-05-12,ZDLAG5227X,017952874860,0.11,0
Rohan,Patel,1977-01-18,POLIV4985A,036214629799,0.1,0
Aanya,Mehta,1997-08-13,ICLOB1207I,558462161886,0.12,0
Diya,Rao,1973-10-02,PEUKV2577D,943550420571,0.03,0
Arjun,Patel,1974-11-08,BFZNZ6515L,143636200189,0.12,0
Kavya,Joshi,1977-09-30,DQKCX6273T,623101300671,0.16,0
Vihaan,Mehta,1977-07-09,LHTAA5391M,595848998652,0.24,0
Vihaan,Kumar,1981-12-11,KWNCG0944W,599128480508,0.19,0
Diya,Singh,1998-02-03,MFTWR9148T,491036751154,0.12,0
Nisha,Singh,1980-10-29,TAVGT8407W,590450631002,0.25,0
Sai,Singh,1997-09-03,TFNYX8523T,949387625071,0.27,0
Nisha,Desai,1997-05-30,OPWNW2442C,074217039690,0.13,0
Arjun,Joshi,1985-08-16,VRNPC2021C,069958078006,0.1,0
Aarav,Patel,1979-10-09,LIVYZ4680A,267499602921,0.2,0
Vihaan,Joshi,1989-08-12,YVQRT7215R,086087676532,0.06,0
Diya,Gupta,2002-05-12,SHGJZ4885P,928788132729,0.28,0
Aanya,Joshi,1977-02-15,QTRVL0586O,737257102672,0.14,0
Nisha,Desai,1970-11-03,GVBYM4766T,512994791388,0.09,0
Vihaan,Kumar,1972-05-26,MVUIK9952B,613324023940,0.03,0
Vivaan,Rao,1988-12-30,JQPHM6689M,038222020089,0.08,0
Rohan,Rao,1985-01-24,EELQW2692M,198337375793,0.18,0
Vihaan,Desai,2002-03-29,HQOMT6618U,613242559297,0.02,0
Nisha,Desai,1989-04-09,NYBYT7354N,302721529451,0.24,0
Aarav,Mehta,1985-08-31,VMAAS6490B,736406768466,0.02,0
Aditya,Joshi,1978-12-27,DPZOX7060H,589860420711,0.03,0
Nisha,Rao,2001-05-17,XNECJ0884X,381650085625,0.22,0
Arjun,Verma,1978-07-25,BDSEJ2918C,931551222376,0.07,0
Nisha,Kumar,2003-09-16,611285535U,3392802406,0.9,1
Diya,Desai,1983-07-21,GWRBJ1661X,153712101653,0.19,0
Arjun,Singh,2002-04-07,XMPDQ2809F,553221090050,0.03,0
Aanya,Patel,1970-07-01,WLTDF2234T,793942011541,0.23,0
Aanya,Verma,1974-05-08,859238124H,0168040354,0.96,1
Vihaan,Kumar,2004-05-29,RXZPL8075Y,852504490544,0.23,0
Vihaan,Singh,1974-03-18,MOYAZ8390C,946076655374,0.25,0
Diya,Mehta,1993-09-05,XQXXJ4555I,497522323119,0.1,0
Kavya,Singh,1981-01-13,NEIAW9298G,297044168691,0.06,0
Arjun,Patel,1994-12-23,PAEYB5521K,923565896176,0.07,0
Sai,Gupta,1989-05-05,KAKBV1043N,198386323618,0.03,0
Sai,Joshi,1983-03-13,RWOEE7427A,699037703941,0.09,0
Vihaan,Kumar,1987-07-31,BTYTH7942P,340202998499,0.08,0
Diya,Gupta,1974-10-09,TYUAL5258F,671080575338,0.04,0
Rohan,Desai,1980-08-29,RNOYC3746O,847394608126,0.2,0
Aarav,Sharma,1985-02-08,WNKBP6737Q,260356839267,0.28,0
Vivaan,Desai,1984-02-08,BKYGN0935U,678546564327,0.21,0
Aarav,Rao,1977-05-27,XAEEM8638A,214129686491,0.27,0
Aarav,Patel,1999-10-23,UWSVV2574C,493911396730,0.09,0
Vihaan,Singh,1980-09-05,MLYPO5471Q,828507493134,0.18,0
Kavya,Gupta,1982-06-01,ESAMZ8968I,637129530175,0.13,0
Vihaan,Sharma,2000-03-06,EBYGR4839P,153771677693,0.07,0
Vihaan,Verma,1979-04-20,VUWZY8406A,946122933122,0.28,0
Nisha,Verma,2000-07-05,XGMAR4731C,908791240618,0.29,0
Isha,Singh,2003-08-26,MFMGG6456Q,402093962467,0.26,0
Aanya,Singh,1995-12-31,QJUKV9254B,243053224890,0.24,0
Kavya,Singh,1982-02-06,LLBPJ0873H,955955260406,0.02,0
Arjun,Rao,1970-08-14,ZJWFR3023F,281487017917,0.04,0
Isha,Rao,1985-08-11,975668228D,5672904125,0.88,1
Vivaan,Verma,1982-02-23,451396794E,5548294917,0.88,1
Vivaan,Patel,1977-01-10,WFIHB6159D,131826497906,0.28,0
Nisha,Rao,1993-03-14,UDPDW7764S,624965537982,0.25,0
Vivaan,Joshi,1988-05-12,NIUDV6229D,825145501955,0.25,0
Rohan,Patel,2003-12-12,PNJDB1105E,342577608826,0.28,0
Aanya,Kumar,1973-07-24,XVSVQ5719U,824060845974,0.11,0
Arjun,Joshi,1971-06-13,XAMNS4620Z,856097811931,0.2,0
Diya,Rao,1972-01-21,QPQFJ4567O,267646406522,0.03,0
Vivaan,Patel,2004-05-31,QZIMQ3600M,861957403848,0.17,0
Aarav,Joshi,1970-05-02,AAXPE2025I,617451328965,0.1,0
Nisha,Desai,1982-04-03,GKBJE1404Z,255537897802,0.13,0
Kavya,Kumar,1973-08-23,XVCVJ8717H,660404668242,0.16,0
Arjun,Kumar,1980-09-24,HKOMR7794F,463020425222,0.06,0
Aanya,Joshi,1977-05-11,YUNAX8920J,962769583907,0.21,0
Vivaan,Desai,1974-03-07,QRDCR3747W,245093336967,0.06,0
Rohan,Gupta,1977-12-27,KNPOT5923O,510089162723,0.23,0
Diya,Mehta,1979-09-25,PAHJR3095S,890091389306,0.21,0
Vihaan,Verma,1993-12-05,VZDSM0530K,309667274731,0.28,0
Aanya,Verma,1998-12-01,TDSXY4119B,304065060599,0.15,0
